Datetime,Power,Wind_speed,Theoretical_power,Loss_power,x_com,y_com,T_1
2018-03-04 10:00:00,0.0,1.9131246805190998,0.0,0.0,1.49784153071477,1.1824222155190902,0.0
2018-03-04 11:00:00,0.0,2.6916656096776266,4.108085140132366,4.108085140132366,2.502259598147644,0.9705534088938145,0.0
2018-03-04 12:00:00,0.0,2.8849035104115752,6.983597360514984,6.983597360514984,2.6572528917158764,1.1163162881384905,0.0
2018-03-04 13:00:00,0.0,2.6747778654098453,3.0973721172855835,3.0973721172855835,2.2738686228844496,1.3364381193412471,0.0
2018-03-04 14:00:00,43.45613400141383,3.60996035734812,71.587235649795,28.131101648381172,2.7654564635895427,2.303458040506001,0.0
2018-03-04 15:00:00,59.38773522526012,3.74460158348083,94.6866052824146,35.298870057154474,2.5722431320528436,2.706242809601884,43.45613400141383
2018-03-04 16:00:00,198.20743306477834,4.616867462793981,253.13933251377117,54.93189944899283,3.350208100532306,3.1548485994795197,59.38773522526012
2018-03-04 17:00:00,173.5618515014643,4.520992040634148,226.845111470343,53.28325996887867,2.7768723289179893,3.558050676574944,198.20743306477834
2018-03-04 18:00:00,185.30679575602167,4.584054390589391,240.37376040014547,55.066964644123836,2.8885361831001806,3.552785121692503,173.5618515014643
2018-03-04 19:00:00,221.8331693013506,4.700044512748714,278.1522877973081,56.319118495957476,2.5981628545138453,3.880750191197869,185.30679575602167
2018-03-04 20:00:00,38.70428705215448,3.6718142032623224,76.26254823505168,37.558261182897205,1.722341778731728,3.238605901823406,221.8331693013506
2018-03-04 21:00:00,15.417836745580017,3.540824333826693,60.0898470324237,44.67201028684368,1.323596794697527,3.282175375246682,38.70428705215448
2018-03-04 22:00:00,21.610665607452383,3.39035401344299,47.43789612070104,25.82723051324866,0.3853262509361849,3.3327358437313612,15.417836745580017
2018-03-04 23:00:00,75.56156794230138,3.96770068009694,119.663274011785,44.10170606948361,1.0550342179415275,3.8234642665481413,21.610665607452383
2018-03-05 00:00:00,0.0,2.6939169764518676,0.0,0.0,1.0081361712515284,2.4849040241085603,75.56156794230138
2018-03-05 01:00:00,26.10077190399165,3.7318471074104247,88.1955297861482,62.09475788215655,1.7744397661453815,3.191750636874784,0.0
2018-03-05 02:00:00,244.16991575558947,4.931607643763218,344.1275131774803,99.95759742189085,1.6091998379224126,4.64732800595527,26.10077190399165
2018-03-05 03:00:00,147.47874291737844,4.107777317365007,164.6860015606192,17.20725864324075,-0.2633177459464648,4.007186344457648,244.16991575558947
2018-03-05 04:00:00,547.9069849650064,5.612773895263665,594.4221648090123,46.515179844006006,0.29997297387865063,5.5623693695158485,147.47874291737844
